R=90163, TT=RebCr, NTX=51, TB=1748840300.91s, D=0.36s
R=90164, TT=RebTrOw, NTX=20, TB=1748840303.01s, D=0.33s
R=90164, TT=RebCr, NTX=63, TB=1748840303.35s, D=0.40s
R=90165, TT=RebTrOw, NTX=20, TB=1748840305.31s, D=0.22s
R=90165, TT=RebCr, NTX=64, TB=1748840305.54s, D=0.39s
R=90166, TT=RebTrOw, NTX=20, TB=1748840307.58s, D=0.21s
R=90166, TT=RebCr, NTX=58, TB=1748840307.79s, D=0.41s
R=90167, TT=RebTrOw, NTX=20, TB=1748840309.98s, D=0.28s
R=90167, TT=RebCr, NTX=53, TB=1748840310.26s, D=0.34s
R=90168, TT=RebTrOw, NTX=20, TB=1748840312.17s, D=0.23s
R=90168, TT=RebCr, NTX=62, TB=1748840312.39s, D=0.38s
R=90169, TT=RebTrOw, NTX=20, TB=1748840314.59s, D=0.26s
R=90169, TT=RebCr, NTX=56, TB=1748840314.85s, D=0.40s
R=90170, TT=RebTrOw, NTX=20, TB=1748840316.75s, D=0.17s
R=90170, TT=RebCr, NTX=60, TB=1748840316.92s, D=0.42s
R=90171, TT=RebTrOw, NTX=20, TB=1748840319.23s, D=0.27s
R=90171, TT=RebCr, NTX=46, TB=1748840319.50s, D=0.33s
R=90172, TT=RebTrOw, NTX=20, TB=1748840321.48s, D=0.24s
R=90172, TT=RebCr, NTX=65, TB=1748840321.71s, D=0.41s
R=90173, TT=RebTrOw, NTX=20, TB=1748840323.74s, D=0.23s
R=90173, TT=RebCr, NTX=61, TB=1748840323.98s, D=0.39s
R=90174, TT=RebTrOw, NTX=20, TB=1748840326.17s, D=0.28s
R=90174, TT=RebCr, NTX=78, TB=1748840326.44s, D=0.39s
R=90175, TT=RebTrOw, NTX=20, TB=1748840328.69s, D=0.32s
R=90175, TT=RebCr, NTX=61, TB=1748840329.01s, D=0.37s
R=90176, TT=RebTrOw, NTX=20, TB=1748840330.93s, D=0.26s
R=90176, TT=RebCr, NTX=49, TB=1748840331.19s, D=0.31s
R=90177, TT=RebTrOw, NTX=20, TB=1748840333.26s, D=0.24s
R=90177, TT=RebCr, NTX=67, TB=1748840333.49s, D=0.33s
R=90178, TT=RebTrOw, NTX=20, TB=1748840335.60s, D=0.29s
R=90178, TT=RebCr, NTX=66, TB=1748840335.90s, D=0.47s
R=90179, TT=RebTrOw, NTX=20, TB=1748840337.99s, D=0.23s
R=90179, TT=RebCr, NTX=58, TB=1748840338.23s, D=0.35s
R=90180, TT=RebTrOw, NTX=20, TB=1748840340.38s, D=0.28s
R=90180, TT=RebCr, NTX=67, TB=1748840340.66s, D=0.40s
R=90181, TT=RebTrOw, NTX=20, TB=1748840342.98s, D=0.22s
R=90181, TT=RebCr, NTX=62, TB=1748840343.20s, D=0.56s
R=90182, TT=RebTrOw, NTX=20, TB=1748840345.83s, D=0.33s
R=90182, TT=RebCr, NTX=58, TB=1748840346.16s, D=0.46s
R=90183, TT=RebTrOw, NTX=20, TB=1748840348.29s, D=0.26s
R=90183, TT=RebCr, NTX=57, TB=1748840348.55s, D=0.40s
