R=90166, TT=TinCr, NTX=11, TB=1748840307.86s, D=0.29s
R=90167, TT=TinTrOw, NTX=5, TB=1748840309.78s, D=0.14s
R=90167, TT=TinCr, NTX=11, TB=1748840309.92s, D=0.20s
R=90168, TT=TinTrOw, NTX=5, TB=1748840312.23s, D=0.16s
R=90168, TT=TinCr, NTX=10, TB=1748840312.39s, D=0.25s
R=90169, TT=TinTrOw, NTX=5, TB=1748840314.60s, D=0.20s
R=90169, TT=TinCr, NTX=14, TB=1748840314.80s, D=0.36s
R=90170, TT=TinTrOw, NTX=5, TB=1748840316.81s, D=0.17s
R=90170, TT=TinCr, NTX=11, TB=1748840316.98s, D=0.26s
R=90171, TT=TinTrOw, NTX=5, TB=1748840319.21s, D=0.21s
R=90171, TT=TinCr, NTX=10, TB=1748840319.42s, D=0.34s
R=90172, TT=TinTrOw, NTX=5, TB=1748840321.44s, D=0.16s
R=90172, TT=TinCr, NTX=9, TB=1748840321.60s, D=0.24s
R=90173, TT=TinTrOw, NTX=5, TB=1748840323.80s, D=0.20s
R=90173, TT=TinCr, NTX=10, TB=1748840324.01s, D=0.32s
R=90174, TT=TinTrOw, NTX=5, TB=1748840326.49s, D=0.36s
R=90174, TT=TinCr, NTX=10, TB=1748840326.84s, D=0.17s
R=90175, TT=TinTrOw, NTX=5, TB=1748840328.68s, D=0.21s
R=90175, TT=TinCr, NTX=8, TB=1748840328.89s, D=0.23s
R=90176, TT=TinTrOw, NTX=5, TB=1748840331.00s, D=0.20s
R=90176, TT=TinCr, NTX=11, TB=1748840331.21s, D=0.34s
R=90177, TT=TinTrOw, NTX=5, TB=1748840333.26s, D=0.16s
R=90177, TT=TinCr, NTX=9, TB=1748840333.42s, D=0.23s
R=90178, TT=TinTrOw, NTX=5, TB=1748840335.56s, D=0.14s
R=90178, TT=TinCr, NTX=12, TB=1748840335.70s, D=0.24s
R=90179, TT=TinTrOw, NTX=5, TB=1748840338.04s, D=0.21s
R=90179, TT=TinCr, NTX=10, TB=1748840338.25s, D=0.35s
R=90180, TT=TinTrOw, NTX=5, TB=1748840340.36s, D=0.15s
R=90180, TT=TinCr, NTX=11, TB=1748840340.52s, D=0.27s
R=90181, TT=TinTrOw, NTX=5, TB=1748840343.14s, D=0.22s
R=90181, TT=TinCr, NTX=7, TB=1748840343.36s, D=0.30s
R=90182, TT=TinTrOw, NTX=5, TB=1748840345.83s, D=0.19s
R=90182, TT=TinCr, NTX=9, TB=1748840346.01s, D=0.25s
R=90183, TT=TinTrOw, NTX=5, TB=1748840348.32s, D=0.19s
R=90183, TT=TinCr, NTX=12, TB=1748840348.50s, D=0.28s
