R=30345, TT=StCr, NTX=25, TB=1748704210.33s, D=0.27s
R=30346, TT=StCr, NTX=25, TB=1748704212.45s, D=0.16s
R=30347, TT=StCr, NTX=25, TB=1748704214.69s, D=0.27s
R=30348, TT=StCr, NTX=25, TB=1748704216.94s, D=0.34s
R=30349, TT=StCr, NTX=25, TB=1748704219.06s, D=0.18s
R=30350, TT=StCr, NTX=25, TB=1748704221.31s, D=0.19s
R=30351, TT=StCr, NTX=25, TB=1748704223.55s, D=0.27s
R=30352, TT=StCr, NTX=25, TB=1748704225.71s, D=0.26s
R=30353, TT=StCr, NTX=25, TB=1748704227.93s, D=0.28s
R=30354, TT=StCr, NTX=25, TB=1748704230.06s, D=0.20s
R=30355, TT=StCr, NTX=25, TB=1748704232.32s, D=0.26s
R=30356, TT=StCr, NTX=25, TB=1748704234.34s, D=0.17s
R=30357, TT=StCr, NTX=25, TB=1748704236.75s, D=0.27s
R=30358, TT=StCr, NTX=25, TB=1748704238.98s, D=0.21s
R=30359, TT=StCr, NTX=25, TB=1748704241.19s, D=0.26s
R=30360, TT=StCr, NTX=25, TB=1748704243.39s, D=0.22s
R=30361, TT=StCr, NTX=25, TB=1748704245.67s, D=0.43s
R=30362, TT=StCr, NTX=25, TB=1748704248.05s, D=0.19s
R=30363, TT=StCr, NTX=25, TB=1748704250.31s, D=0.29s
R=30364, TT=StCr, NTX=25, TB=1748704252.41s, D=0.18s
R=30365, TT=StCr, NTX=25, TB=1748704254.70s, D=0.24s
R=30366, TT=StCr, NTX=25, TB=1748704256.93s, D=0.25s
R=30367, TT=StCr, NTX=25, TB=1748704258.95s, D=0.16s
R=30368, TT=StCr, NTX=25, TB=1748704261.18s, D=0.19s
R=30369, TT=StCr, NTX=25, TB=1748704263.46s, D=0.16s
R=30370, TT=StCr, NTX=25, TB=1748704266.16s, D=0.26s
R=30371, TT=StCr, NTX=25, TB=1748704268.60s, D=0.20s
R=30372, TT=StCr, NTX=25, TB=1748704270.74s, D=0.17s
R=30373, TT=StCr, NTX=25, TB=1748704272.98s, D=0.20s
R=30374, TT=StCr, NTX=25, TB=1748704275.19s, D=0.28s
R=30375, TT=StCr, NTX=25, TB=1748704277.32s, D=0.23s
R=30376, TT=StCr, NTX=25, TB=1748704279.43s, D=0.18s
R=30377, TT=StCr, NTX=25, TB=1748704281.64s, D=0.16s
R=30378, TT=StCr, NTX=25, TB=1748704283.47s, D=0.15s
R=30379, TT=StCr, NTX=25, TB=1748704286.18s, D=0.22s
R=30380, TT=StCr, NTX=25, TB=1748704288.42s, D=0.26s
R=30381, TT=StCr, NTX=25, TB=1748704290.59s, D=0.20s
R=30382, TT=StCr, NTX=25, TB=1748704292.74s, D=0.16s
R=30383, TT=StCr, NTX=25, TB=1748704295.11s, D=0.23s
R=30384, TT=StCr, NTX=25, TB=1748704297.24s, D=0.27s
R=30385, TT=StCr, NTX=25, TB=1748704299.36s, D=0.16s
R=30386, TT=StCr, NTX=25, TB=1748704301.59s, D=0.17s
R=30387, TT=StCr, NTX=25, TB=1748704303.90s, D=0.29s
R=30388, TT=StCr, NTX=25, TB=1748704306.20s, D=0.31s
